hugo_symbol	Model_Score
GRM5	0.9986223
NRXN1	0.9984234
NEGR1	0.9978774
PRDM14	0.99786675
TRIP11	0.9978441
AASDH	0.99777687
MUC16	0.9976184
CADM2	0.99746835
ASPM	0.9974543
ASPM	0.99743986
ASPM	0.9974325
ASPM	0.997426
HCN1	0.9973873
IGF2BP3	0.99733645
ASPM	0.99713933
HMGCLL1	0.997117
LRRC4C	0.9970608
APPBP2	0.9968859
MYB	0.99650514
ASPM	0.99646425
MYB	0.99641514
LRRC4C	0.9963587
CTNND2	0.9963523
FNBP1	0.9963047
MYB	0.9962928
MYB	0.99628127
CTNND2	0.996242
HTR7	0.99613374
DGKI	0.9961007
CTNND2	0.9960085
CTNND2	0.99596214
NSMAF	0.9959514
ASPM	0.9959321
ASPM	0.9959043
HTR7	0.99577725
ASPM	0.9957251
RTCB	0.99570525
SMAD4	0.99565035
MYB	0.99555093
MYB	0.9954981
CD79A	0.99546945
MYB	0.99545103
COL11A1	0.99544483
ASPM	0.99542457
MYB	0.99539393
SOX7	0.99527085
FBN1	0.9951885
CDC73	0.99515647
CDC73	0.99513745
FGD6	0.9951341
MYH11	0.9951306
GABRR2	0.9950828
SH3KBP1	0.9950807
ROBO2	0.99493307
HERC1	0.9949029
FAM78B	0.99489295
FAM47C	0.9948155
FAM47C	0.9947886
FAM47C	0.9947839
ASPM	0.9947238
ASPM	0.9946828
ASPM	0.99467045
NKX3-1	0.99465734
CDC73	0.9945631
FAM47C	0.994548
ASPM	0.9945399
NALCN	0.99451977
NPAP1	0.99451816
MYH11	0.99445844
TRPM1	0.99444747
ASPM	0.9944146
DGKI	0.9943872
CTNND2	0.994304
EFTUD2	0.9942878
SF3B5	0.99425155
CACNA1E	0.9942116
SORCS1	0.99410397
ASPM	0.9940215
CTNND2	0.9939548
CDH11	0.99393183
MUC16	0.99388
FAT3	0.9938402
ROBO2	0.99380684
FGFR2	0.9937471
FAM47C	0.993693
FAM47C	0.9936486
FAM47C	0.993546
ARHGAP26	0.99345523
CDC73	0.99342155
CDC73	0.9934158
CTNND2	0.9934151
MYH11	0.99341434
ADAR	0.99333155
FAM47C	0.99323016
NBPF20	0.9932033
FAM47C	0.9931631
CDC73	0.9931282
CLTC	0.9931101
TSFM	0.9930886
FAM47C	0.99307585
TBX3	0.9929822
PAPOLA	0.99284863
ARFGEF1	0.99280846
EPB41L4A	0.9927254
CDC73	0.99271905
CHD4	0.99271876
KMT2D	0.99269986
MYH11	0.9926517
ABHD17B	0.99260706
RAB30	0.9925582
CSMD3	0.9924381
MAT1A	0.99243605
MYB	0.9923707
LCP1	0.9923509
CDH11	0.9923213
MYB	0.9922708
CTNND2	0.99224305
MYB	0.9922298
TBX3	0.9921557
ATP10D	0.99209017
MYB	0.99198395
ASPM	0.99194473
CTNND2	0.99190223
SUFU	0.9918248
TNR	0.9918058
MYB	0.99167234
MYB	0.9916593
ARFGEF1	0.9916514
KMT2D	0.991614
KMT2D	0.9915375
MTOR	0.9915021
KDR	0.99140245
CNBD1	0.99139315
ASTN2	0.991295
MUC16	0.9912881
MYB	0.9911322
EPHA4	0.99090505
KMT2D	0.9908783
MUC16	0.99087036
ASPM	0.9908501
OGA	0.9908474
TBX3	0.9907927
LZTR1	0.99074256
CSMD3	0.99068993
HOXD10	0.99066645
GRIN2A	0.9906619
ASAP1	0.9905959
PTPRT	0.990585
MUC16	0.99057585
MYB	0.99055505
RSF1	0.9905066
KMT2D	0.9904875
NCOA2	0.99039346
ASPM	0.990379
ASPM	0.9903415
ROBO2	0.9903339
LASP1	0.99029875
CHD6	0.990152
EPHA3	0.9901305
KMT2D	0.9901302
NOTCH2	0.99009436
CDC73	0.99006563
LRP1B	0.9900543
ATR	0.99004835
NOTCH2	0.9899916
NCOA2	0.9898303
CCT8L2	0.9898289
MAP3K14	0.989741
ASPM	0.98971254
LRP1B	0.989399
MPP4	0.98933685
GRIK2	0.9892344
NTRK3	0.98918545
TBX3	0.9891664
ZNF285	0.9890127
KMT2D	0.98895556
KMT2D	0.98894936
CSMD1	0.9888949
ASPM	0.98882675
HTR7	0.9888007
KMT2D	0.988799
ST6GAL2	0.98878986
SNCAIP	0.98869157
ASPM	0.98866284
FAT3	0.988629
FAM135B	0.9885831
CSMD3	0.98857695
NTRK3	0.9885418
TBX3	0.9885323
SCN3A	0.9884566
ITPR2	0.9883147
CTNND2	0.9882047
PRR30	0.9881786
TBX3	0.9881579
TBX3	0.98811
MUC16	0.9880087
ASPM	0.9879607
VIRMA	0.9878806
NCOA2	0.9878173
MYB	0.98779535
KMT2D	0.9877575
TBX3	0.9876804
GNAQ	0.9875969
UPK1B	0.98751694
GRIN2A	0.98711437
FLT4	0.9870736
LRP1B	0.98705184
KMT2D	0.9869861
NTRK3	0.986955
GRIN2A	0.98689204
NCOA2	0.986861
TBX3	0.98683786
LIG1	0.98681474
FEV	0.98677474
PRKD1	0.9866967
ASPM	0.9866872
TXNDC9	0.9866342
ASPM	0.9865963
MYB	0.9865473
TBX3	0.98648745
GRIN2A	0.9864837
FAT1	0.9863301
ARFGEF1	0.98620135
SERTAD2	0.9861856
GABRB1	0.98615754
MUC16	0.9861415
ARFGEF1	0.9861247
UBR5	0.9860307
ZSWIM2	0.98601717
FEV	0.9860146
ROBO2	0.98601305
NRXN1	0.98600894
ZNF521	0.9859981
TBX3	0.9858448
GLG1	0.9856814
GNAQ	0.9856502
CNTNAP2	0.98553646
CDH11	0.98551077
ATRX	0.9854884
TBX3	0.98544514
FBP2	0.98543394
CNTNAP2	0.98543274
ABCC4	0.9854315
MSTN	0.98528296
ATP13A3	0.9852793
CPXM1	0.9852517
FAM47C	0.98523384
SMC4	0.9851638
MUC16	0.98508567
B4GALT6	0.9850562
ZNF521	0.9850517
POLQ	0.98495215
POLR3A	0.984928
LRP1B	0.98487693
NTRK3	0.9848211
FEV	0.9847583
CNTNAP2	0.98474467
BCAT2	0.98472995
LRP1B	0.9846992
TBX3	0.98441833
TBX3	0.9843927
TAT	0.98433095
CNTN6	0.98426116
PTPRB	0.9842042
GNAQ	0.9840258
CTNND2	0.98402256
POLQ	0.9839723
NALCN	0.9838906
CTNNB1	0.98384583
CDH11	0.9838133
ROBO2	0.9837802
KDM5C	0.983761
POLE	0.98374367
TBX3	0.98365057
KCNMA1	0.9835247
NTRK3	0.98347473
LRP1B	0.9834738
NR1H4	0.9834273
CDH11	0.9832015
ASPM	0.9831385
LRP1B	0.98312277
KIR3DL2	0.9830996
TNC	0.9830959
TBX3	0.98307496
CTNNB1	0.983005
ZAP70	0.9829665
FEV	0.98262906
CSMD3	0.9826008
MUC16	0.98239434
CNTNAP2	0.9823901
NBEA	0.9823608
CTNNB1	0.98235226
KCMF1	0.98233867
CDH11	0.98229903
GRIN2A	0.9821141
NALCN	0.9821129
CDC73	0.98208445
FEV	0.9820209
TMEM156	0.98200876
NSD1	0.98200136
CDC73	0.9819814
LIFR	0.98197126
ROCK1	0.98193073
AARS1	0.981905
PRAMEF1	0.98188275
FEV	0.9818528
GATA4	0.98183924
FEV	0.9817882
ATAD2B	0.9817453
PRKD1	0.98170894
POLE	0.9816941
TIMM17B	0.98169285
TBX3	0.9816889
CHD6	0.9816036
MAML2	0.9815521
FAM47C	0.9815486
TNC	0.98146594
PAX8	0.98138434
NBEA	0.98137814
CSMD3	0.9813361
MUC16	0.9813212
NBEA	0.98121643
UBR5	0.9812101
PDGFRA	0.9812019
TNC	0.98115665
FBXO11	0.98115045
RAD21	0.98112357
A1CF	0.98109317
GNAQ	0.9809835
PDGFRA	0.980969
FEV	0.9809621
CHEK2	0.9809595
PDGFRA	0.98095465
MUC16	0.9809012
CNTNAP2	0.98088366
CSMD3	0.9808635
NTRK3	0.98079234
CDC73	0.98074937
AXIN2	0.9807196
NT5C2	0.98066396
TNC	0.9806136
FEV	0.9806028
NRG1	0.98055345
LMO2	0.98053604
ACVR1C	0.98052794
GABRG2	0.98040795
TNC	0.98038936
FEV	0.98033994
PPP4R1	0.98031324
GRIA2	0.9802616
FEV	0.9802511
CTNNB1	0.9802337
CNTNAP2	0.98022026
NSD1	0.9801978
NACA	0.9801886
NOTCH2	0.9801314
TPH2	0.98010606
TNPO3	0.98002946
UBR5	0.97984904
PTPRD	0.9796931
CDH11	0.9796869
SMAD4	0.979597
TNC	0.97957987
MAP3K1	0.97953594
SAMD9L	0.9795127
GNAQ	0.9794733
RPL22	0.9794326
NTRK3	0.9793793
SETD2	0.9793614
CDH2	0.979336
CHEK2	0.97933584
ABL2	0.97933465
NTRK3	0.97927624
FBXL7	0.97926295
PTPRD	0.9792615
SPPL3	0.9791953
COL11A1	0.97917753
FEV	0.9790858
CTNNB1	0.9790391
ZNF479	0.9790263
VWA2	0.97898924
SLC4A10	0.97896737
IMPG1	0.9789385
PDGFRA	0.97891283
PDGFRA	0.9789008
PAIP1	0.97884595
GSPT2	0.9788296
SVEP1	0.9788272
IMPG1	0.9788118
MUC16	0.97880876
IMPG1	0.9787837
COL3A1	0.9787116
FLNA	0.9786433
POLE	0.9786302
CDH10	0.97855556
MFAP1	0.97851175
NTRK3	0.9784186
HCN4	0.9783312
CHD4	0.97828865
PDGFRA	0.9782727
MUC16	0.9782438
CDK4	0.97820693
ATP2B2	0.9781839
HTR7	0.9781383
RGS22	0.978092
ACSL1	0.97784096
FBXL7	0.9777518
MUC16	0.97766745
CNTN5	0.97763413
ZEB2	0.97760487
COL11A1	0.97758174
CSMD3	0.9775792
POLQ	0.9775376
CHD4	0.97747874
ROBO2	0.97747207
KLHL30	0.9774501
SETD2	0.97744167
CTNNB1	0.97738546
GOLGA1	0.9773356
KCNH7	0.9773117
POT1	0.9772762
HIBCH	0.9772317
OPN3	0.9772202
CSMD3	0.9771709
CHD4	0.97711843
MUC16	0.977047
MTMR12	0.97704214
SCN2A	0.97697186
EYA1	0.97696227
MUC16	0.976911
PCDH10	0.9768847
CHD4	0.97683936
CDC73	0.97680634
SETDB1	0.97679883
ASPM	0.97674215
GNAQ	0.9767113
HIP1	0.9766819
PTPRC	0.9766366
CSMD3	0.97658205
NBEA	0.9764742
LRP1B	0.97644395
NBEA	0.9764402
CDH11	0.97642994
EYA1	0.9764058
MUC16	0.9764014
GNAQ	0.97638446
LSAMP	0.9763607
MUC16	0.9763266
PRKD1	0.97631085
KLHL13	0.97628254
NTRK3	0.9762673
ASPM	0.97626203
RGS7	0.9762103
POLA2	0.97617483
CSMD3	0.9761618
CTNND2	0.9761462
EPHA7	0.97611606
PPP2R1A	0.97597134
CTNNB1	0.9759288
ANK2	0.97591543
CHEK2	0.9759005
PPP2R1A	0.97588307
PTCH1	0.9758134
MUC16	0.9758039
CTNNB1	0.9757645
BRCA1	0.9757536
TNC	0.9757349
LEF1	0.97566503
MTOR	0.9756586
ASPM	0.9756219
NR5A1	0.9756164
OSBPL9	0.9755375
FZD2	0.97552377
FGD6	0.9754239
CTNNB1	0.97532713
NTRK3	0.9752934
NBEA	0.97529316
GRIN2A	0.9752718
MUC16	0.9752508
ASPM	0.9752307
TNC	0.97522515
PKHD1L1	0.9751965
ATP1A3	0.9751915
LRP1B	0.97516644
CASP3	0.97514397
SETDB1	0.9751414
SELENOI	0.9750546
CSMD3	0.97503656
VPS33A	0.9750284
ASPM	0.97500783
CTNNB1	0.97495365
CTNNB1	0.97487307
CACNA1B	0.9748469
CTNNB1	0.97478956
EPHA3	0.9747644
CNTNAP2	0.9747643
PRKD1	0.97471195
PPP2R1A	0.9746793
ADAMTS2	0.9746674
NAV3	0.974636
GNAQ	0.974613
PDGFRA	0.97458637
CTNNB1	0.97445995
CNTNAP2	0.9743858
NTRK3	0.97438294
COL16A1	0.9743761
CTNNB1	0.974376
TRPC4	0.97435784
EYA1	0.97431993
PPP2R1A	0.9743134
MUC16	0.9742093
NBEA	0.9741918
NTRK3	0.9741275
PDGFRA	0.9741217
CCDC190	0.9740893
CTNNB1	0.97407055
NBEA	0.97400296
IPCEF1	0.9739092
MUC16	0.97388524
GUCY1A2	0.9738172
TNC	0.97380286
FAT1	0.97379327
CAMTA1	0.9737847
SLC5A8	0.9737821
PDGFRA	0.97375983
MTMR8	0.97374225
ROCK1	0.97370404
IVL	0.9735961
MUC16	0.9735536
LRP1B	0.9734969
ZNF521	0.9734816
STXBP4	0.9734281
MEGF8	0.9733641
FZD4	0.97332823
ABCC5	0.97314215
TNC	0.9731222
ATP13A3	0.973117
CACNA1A	0.9730883
GRM1	0.97304755
TNC	0.97304004
NSD2	0.9730351
STYXL1	0.9730156
NBEA	0.97299075
MTOR	0.9729838
IL21R	0.97286254
HTR7	0.97277987
CNTNAP2	0.97276014
SLCO1B3-SLCO1B7	0.9727382
CTNNB1	0.972702
NSD1	0.97267294
UBASH3A	0.9726602
CACNA1E	0.972639
MMRN1	0.9726137
GUCY1A2	0.9725769
FAM47C	0.97257113
PDGFRA	0.97253615
DCT	0.9725315
CSMD3	0.9725284
CYSLTR2	0.97252405
CNTNAP2	0.972478
CTNNB1	0.9724663
CTNNB1	0.9724284
KDR	0.972421
NAPEPLD	0.97242093
CSMD3	0.9723764
ABCA8	0.9723715
CDH10	0.97226185
ERG	0.97218394
JAK1	0.9721828
ANK1	0.9721689
ABCC1	0.9721297
PDYN	0.9721012
MTOR	0.9720649
NCOR2	0.97206444
ACVR1B	0.9720563
MUC16	0.97202927
MAP3K1	0.97183514
SEL1L	0.9718073
CSMD3	0.9717792
NDUFAF7	0.97166824
ASPM	0.9716629
