Gene	Mutations	Coverage	p-value	q-value	Rank
KRAS	15279	4126	0.000100000	0.069063578	1
TP53	938	4459	0.000215002	0.069063578	2
EGFR	656	4294	0.000231296	0.069063578	3
TTN	734	3860	0.000319564	0.069063578	4
CSMD3	610	4130	0.000337262	0.069063578	5
MUC16	559	4095	0.000438385	0.069063578	6
USH2A	379	4638	0.000445893	0.069063578	7
ZFHX4	365	3121	0.000508997	0.069063578	8
RYR2	418	4724	0.000533870	0.069063578	9
LRP1B	384	4044	0.000622478	0.069063578	10
BRAF	334	3466	0.000667683	0.069063578	11
FLG	278	3330	0.000675635	0.069063578	12
MUC2	216	3871	0.000718484	0.069063578	13
CACNA1E	258	4482	0.000789792	0.069063578	14
ANK2	229	4396	0.000791005	0.069063578	15
CDH9	284	4238	0.000862366	0.069063578	16
MUC17	205	3130	0.000930599	0.069063578	17
ADAMTS12	185	4437	0.000950148	0.069063578	18
PAPPA2	232	3087	0.000950161	0.069063578	19
XIRP2	222	4123	0.001004316	0.069063578	20
CNTNAP2	200	4685	0.001011781	0.069063578	21
FAT3	215	4687	0.001034018	0.069063578	22
FAM47C	158	4584	0.001040855	0.069063578	23
APOB	179	3385	0.001089541	0.069063578	24
PTPRD	152	4499	0.001095835	0.069063578	25
AHNAK2	189	3343	0.001119738	0.069063578	26
NAV3	156	3510	0.001136617	0.069063578	27
MAGEC3	189	3769	0.001170753	0.069063578	28
SPTA1	190	4332	0.001187423	0.069063578	29
KIAA1210	181	3805	0.001193909	0.069063578	30
FAT4	156	4705	0.001232765	0.069063578	31
ABCA13	188	4515	0.001235743	0.069063578	32
PCDH15	152	3699	0.001240508	0.069063578	33
NPAP1	165	4337	0.001262821	0.069063578	34
PDZRN3	146	3686	0.001284767	0.069063578	35
CSMD1	176	3955	0.001285776	0.069063578	36
CD163	138	4842	0.001288326	0.069063578	37
HMCN1	164	3021	0.001290649	0.069063578	38
ZNF536	179	4215	0.001291625	0.069063578	39
CDH6	136	3840	0.001309665	0.069063578	40
PCDH11X	173	3276	0.001312433	0.069063578	41
PEG3	163	3747	0.001316386	0.069063578	42
FBN2	144	3957	0.001348174	0.069063578	43
BRINP3	156	4082	0.001365024	0.069063578	44
UGT2A1	152	3975	0.001372496	0.069063578	45
SYNE2	163	3252	0.001376745	0.069063578	46
KEAP1	142	3562	0.001378635	0.069063578	47
ADGRG4	142	4899	0.001384714	0.069063578	48
PKHD1L1	133	3600	0.001392731	0.069063578	49
COL11A1	169	3459	0.001393868	0.069063578	50
TNR	162	3856	0.001398831	0.069063578	51
SERPINA9	134	3387	0.001399075	0.069063578	52
RYR1	140	4528	0.001409667	0.069063578	53
PCLO	142	4590	0.001437545	0.069063578	54
ASPM	141	3831	0.001449565	0.069063578	55
ANK1	170	4184	0.001450341	0.069063578	56
LRRC7	141	4267	0.001459027	0.069063578	57
RELN	136	3166	0.001463384	0.069063578	58
KCNA4	139	4508	0.001474082	0.069063578	59
ASTN1	149	3189	0.001478542	0.069063578	60
NLRP3	146	3957	0.001483023	0.069063578	61
ZEB1	114	4955	0.001506461	0.069063578	62
GRIN2A	136	3020	0.001537191	0.069063578	63
RYR3	128	3897	0.001538902	0.069063578	64
CDH10	139	4154	0.001542488	0.069063578	65
TENM1	137	3646	0.001549360	0.069063578	66
VCAN	132	3315	0.001550207	0.069063578	67
OBSCN	123	3955	0.001556294	0.069063578	68
AFF2	114	4104	0.001559349	0.069063578	69
MYH8	112	4411	0.001560547	0.069063578	70
PLPPR4	158	3474	0.001591597	0.069063578	71
PXDNL	99	3492	0.001622656	0.069063578	72
TAF1L	149	4806	0.001635340	0.069063578	73
MYH1	135	4297	0.001660371	0.069063578	74
DNAH9	125	3091	0.001677061	0.069063578	75
ZNF804A	106	3161	0.001679347	0.069063578	76
DST	103	4485	0.001686296	0.069063578	77
HECW1	132	3013	0.001702072	0.069063578	78
DLGAP2	128	3564	0.001709367	0.069063578	79
ERICH3	120	4966	0.001712824	0.069063578	80
ZFPM2	117	3205	0.001733225	0.069063578	81
NALCN	130	3776	0.001733989	0.069063578	82
PTPRZ1	120	4451	0.001740429	0.069063578	83
RIMS2	120	3775	0.001746671	0.069063578	84
ROBO2	125	4390	0.001755319	0.069063578	85
GRM8	104	3815	0.001777117	0.069063578	86
MXRA5	126	4363	0.001787553	0.069063578	87
NID1	105	4886	0.001788218	0.069063578	88
PCDH10	123	4478	0.001799086	0.069063578	89
TG	120	3508	0.001802398	0.069063578	90
ZNF831	112	4895	0.001802412	0.069063578	91
EPHA5	111	4413	0.001808584	0.069063578	92
SI	129	4369	0.001817185	0.069063578	93
ASXL3	103	4750	0.001822675	0.069063578	94
FAT1	103	4275	0.001852492	0.069063578	95
DMD	100	3337	0.001875689	0.069063578	96
COL3A1	99	3763	0.001885652	0.069063578	97
CTNND2	111	4021	0.001885825	0.069063578	98
NLRP4	102	3295	0.001890168	0.069063578	99
TSHZ3	117	3034	0.001894152	0.069063578	100
MYH2	92	4051	0.001900240	0.069063578	101
CUBN	103	3455	0.001901055	0.069063578	102
RP1L1	113	4585	0.001904676	0.069063578	103
OVCH1	131	3241	0.001906701	0.069063578	104
SETBP1	112	4025	0.001906893	0.069063578	105
REG3A	105	3995	0.001913286	0.069063578	106
TENM2	109	4500	0.001922006	0.069063578	107
FER1L6	92	3230	0.001936188	0.069063578	108
CDH12	106	3729	0.001939495	0.069063578	109
IGSF10	102	4748	0.001948940	0.069063578	110
OR2W3	91	3134	0.001952944	0.069063578	111
TKTL2	93	4513	0.001956074	0.069063578	112
ZNF804B	109	4845	0.001966294	0.069063578	113
KCNU1	110	3565	0.001968314	0.069063578	114
MGAM	108	3702	0.001987129	0.069063578	115
CNTNAP4	105	3269	0.001992627	0.069063578	116
OR4A15	83	4020	0.001993936	0.069063578	117
CRB1	94	3418	0.002006765	0.069063578	118
TENM3	106	3201	0.002009179	0.069063578	119
THSD7A	96	3647	0.002016576	0.069063578	120
ITGA8	106	4579	0.002027752	0.069063578	121
SORCS3	107	3401	0.002035460	0.069063578	122
DNAH5	87	3960	0.002058359	0.069063578	123
KLHL1	87	4570	0.002059737	0.069063578	124
TNN	98	4180	0.002069832	0.069063578	125
HGF	100	4945	0.002077314	0.069063578	126
COL14A1	99	3187	0.002078511	0.069063578	127
RGS22	106	4981	0.002087993	0.069063578	128
FREM1	103	4294	0.002093895	0.069063578	129
SYNE1	100	4076	0.002094774	0.069063578	130
PLCE1	102	4725	0.002107734	0.069063578	131
OR14A16	85	3794	0.002107978	0.069063578	132
FMN2	96	4495	0.002110797	0.069063578	133
MUC5B	96	3520	0.002123854	0.069063578	134
SLC6A5	76	3627	0.002128172	0.069063578	135
NOTCH4	92	3040	0.002133202	0.069063578	136
EXT2	78	4529	0.002142188	0.069063578	137
STK11	98	4064	0.002144702	0.069063578	138
CTNNB1	110	4795	0.002167661	0.069063578	139
PIK3CA	110	4129	0.002173521	0.069063578	140
FLG2	86	4028	0.002201546	0.069063578	141
SPEG	95	4086	0.002205442	0.069063578	142
ALK	96	4862	0.002208145	0.069063578	143
GPR63	80	4976	0.002208416	0.069063578	144
TLR4	91	3200	0.002210236	0.069063578	145
TRIB2	78	4371	0.002226691	0.069063578	146
CNTNAP5	97	4880	0.002229155	0.069063578	147
DNAH3	102	4016	0.002231034	0.069063578	148
LRP2	87	4762	0.002231978	0.069063578	149
OR2G2	80	4109	0.002233946	0.069063578	150
DSCAML1	77	4306	0.002239182	0.069063578	151
ZIC4	78	4663	0.002242063	0.069063578	152
CDH18	96	4367	0.002245401	0.069063578	153
ZAN	87	3725	0.002252082	0.069063578	154
OR2M7	90	4056	0.002255395	0.069063578	155
KATNAL1	62	3262	0.002257318	0.069063578	156
PCDHB8	78	4821	0.002259396	0.069063578	157
SORCS1	81	3540	0.002264748	0.069063578	158
ADAMTS16	82	3230	0.002266061	0.069063578	159
FSCB	100	3791	0.002280663	0.069063578	160
TPTE	80	4266	0.002283534	0.069063578	161
OR2B11	93	4796	0.002284115	0.069063578	162
SIGLEC10	101	4772	0.002286762	0.069063578	163
PKHD1	94	4522	0.002295854	0.069063578	164
CDKN2A	83	3095	0.002299258	0.069063578	165
UNC13C	98	3014	0.002302145	0.069063578	166
F13A1	87	3642	0.002304992	0.069063578	167
ZNF521	87	4792	0.002306918	0.069063578	168
PCDH17	87	4966	0.002322574	0.069063578	169
PDGFRA	90	4597	0.002335462	0.069063578	170
EPHA6	97	3064	0.002335657	0.069063578	171
GRM1	102	3719	0.002342332	0.069063578	172
LRRC4C	77	4408	0.002347664	0.069063578	173
NSG2	75	4495	0.002352492	0.069063578	174
LTBP1	92	4017	0.002352542	0.069063578	175
SLC39A12	74	4715	0.002357310	0.069063578	176
ZNF423	100	3878	0.002357515	0.069063578	177
NF1	82	4678	0.002360143	0.069063578	178
SPEF2	100	3216	0.002362225	0.069063578	179
F5	91	4863	0.002364445	0.069063578	180
LRIT2	88	3683	0.002369156	0.069063578	181
NRXN1	94	4698	0.002378661	0.069063578	182
SYNPO2	89	3098	0.002390598	0.069063578	183
CTNNA2	99	3379	0.002392469	0.069063578	184
LAMA1	97	4836	0.002409584	0.069063578	185
ARSF	86	3502	0.002410133	0.069063578	186
ATP1A2	90	3502	0.002412961	0.069063578	187
FCRL5	79	4643	0.002426540	0.069063578	188
VPS13C	86	4241	0.002430560	0.069063578	189
DGKB	85	3870	0.002432825	0.069063578	190
COBL	90	4071	0.002433919	0.069063578	191
NELL1	95	4162	0.002444652	0.069063578	192
MAGEC1	90	3929	0.002458369	0.069063578	193
NLRP14	85	3206	0.002460646	0.069063578	194
FAM135B	94	3592	0.002466568	0.069063578	195
TET1	87	4485	0.002474704	0.069063578	196
FRAS1	94	3391	0.002477938	0.069063578	197
DCDC1	68	4439	0.002482187	0.069063578	198
COL4A2	79	4012	0.002482526	0.069063578	199
DSCAM	66	3197	0.002488470	0.069063578	200
TRRAP	75	3683	0.002493388	0.069063578	201
LPA	85	4038	0.002501517	0.069063578	202
USP29	81	4862	0.002507448	0.069063578	203
GABRA2	84	4714	0.002508154	0.069063578	204
COL5A2	84	4484	0.002510499	0.069063578	205
PRDM16	73	3563	0.002510674	0.069063578	206
CDH7	90	3406	0.002518238	0.069063578	207
ACTN2	96	4152	0.002520235	0.069063578	208
DOCK2	80	3577	0.002524379	0.069063578	209
DNAH7	73	4291	0.002525966	0.069063578	210
SLITRK6	82	4430	0.002528952	0.069063578	211
HCN1	81	4183	0.002538364	0.069063578	212
L1CAM	81	4059	0.002547306	0.069063578	213
CA10	85	3397	0.002553151	0.069063578	214
GRID2	86	3766	0.002554333	0.069063578	215
ALPK2	78	4981	0.002554645	0.069063578	216
PLEC	94	3378	0.002562886	0.069063578	217
NTRK3	89	3804	0.002566467	0.069063578	218
UNC5D	75	3663	0.002567178	0.069063578	219
PLCL1	77	3189	0.002567806	0.069063578	220
KIAA1549L	84	4598	0.002571373	0.069063578	221
SLITRK2	77	4248	0.002577205	0.069063578	222
UNC79	87	3612	0.002585080	0.069063578	223
PDE1C	77	4254	0.002604841	0.069063578	224
SRGAP2	75	4842	0.002607397	0.069063578	225
ANKRD30A	77	4400	0.002612579	0.069063578	226
ZNF268	84	3863	0.002613256	0.069063578	227
ADAMTS20	83	3563	0.002614864	0.069063578	228
RASGRF2	89	4751	0.002616672	0.069063578	229
LRFN5	88	4895	0.002618275	0.069063578	230
PCDHB7	94	3288	0.002618740	0.069063578	231
ZNF292	65	4224	0.002620251	0.069063578	232
SPATA31A1	84	3891	0.002623185	0.069063578	233
SETD2	80	4722	0.002638462	0.069063578	234
CPED1	76	3972	0.002643145	0.069063578	235
MPPED2	91	3779	0.002645254	0.069063578	236
SVEP1	75	4248	0.002654330	0.069063578	237
GALR1	76	4768	0.002661204	0.069063578	238
CCT8L2	69	4661	0.002670692	0.069063578	239
AHNAK	75	4695	0.002673649	0.069063578	240
RICTOR	75	3709	0.002678916	0.069063578	241
NRXN3	82	3484	0.002681434	0.069063578	242
ROR2	75	4998	0.002691041	0.069063578	243
GRM5	71	3641	0.002708199	0.069063578	244
OR5F1	65	3608	0.002719761	0.069063578	245
LAMB4	76	4282	0.002724857	0.069063578	246
ANK3	56	4072	0.002729769	0.069063578	247
SPATA31A3	71	4636	0.002731591	0.069063578	248
TLL1	71	3001	0.002733182	0.069063578	249
MICAL2	84	4577	0.002739140	0.069063578	250
PTPRH	64	3550	0.002745227	0.069063578	251
PLCB1	85	3392	0.002747443	0.069063578	252
SLCO2B1	82	4757	0.002756688	0.069063578	253
SLC22A6	67	3293	0.002766966	0.069063578	254
FCGBP	78	4496	0.002772739	0.069063578	255
LAMA2	78	4354	0.002773656	0.069063578	256
TIGD4	75	3648	0.002778645	0.069063578	257
SPHKAP	70	3854	0.002779169	0.069063578	258
OR4C16	75	4479	0.002785119	0.069063578	259
EPHA3	81	4194	0.002793236	0.069063578	260
ICE1	73	3441	0.002799584	0.069063578	261
NCKAP5	78	4363	0.002803317	0.069063578	262
ADGRA3	54	3685	0.002806593	0.069063578	263
KCNH1	75	4257	0.002807874	0.069063578	264
PRUNE2	79	3645	0.002812228	0.069063578	265
SPAG17	71	3698	0.002814461	0.069063578	266
EPHA7	79	3795	0.002816343	0.069063578	267
COL25A1	62	4060	0.002817737	0.069063578	268
FSIP2	80	3681	0.002821864	0.069063578	269
HEPH	80	4819	0.002823907	0.069063578	270
TGIF2LX	74	4853	0.002824527	0.069063578	271
VSTM2A	72	4409	0.002835999	0.069063578	272
SLC12A1	60	3053	0.002850646	0.069063578	273
GPR158	73	4520	0.002851424	0.069063578	274
CACNA1H	65	4349	0.002852106	0.069063578	275
SGIP1	68	3835	0.002853561	0.069063578	276
UNC5B	81	3524	0.002861872	0.069063578	277
HRNR	67	3883	0.002871660	0.069063578	278
ZNF479	67	3279	0.002880676	0.069063578	279
TPO	65	3402	0.002889059	0.069063578	280
TNC	75	4850	0.002892344	0.069063578	281
GRID1	66	3981	0.002908001	0.069063578	282
BCAS1	84	4881	0.002912975	0.069063578	283
NEB	72	4830	0.002929482	0.069063578	284
OR2T34	80	3556	0.002930374	0.069063578	285
SCRN1	67	3122	0.002932723	0.069063578	286
TRPA1	75	4631	0.002939600	0.069063578	287
MMP16	75	4700	0.002950972	0.069063578	288
CRACD	80	4597	0.002951580	0.069063578	289
MYH7	67	3766	0.002952800	0.069063578	290
ARHGAP32	64	3488	0.002966002	0.069063578	291
KCNT2	65	4794	0.002966429	0.069063578	292
MACF1	67	4860	0.002967930	0.069063578	293
COL4A6	71	4589	0.002975942	0.069063578	294
STAB2	83	3742	0.002975991	0.069063578	295
QTRT1	79	4579	0.002980516	0.069063578	296
ZFHX3	65	3763	0.002991339	0.069063578	297
ABCA12	59	4648	0.002991875	0.069063578	298
DYNC1H1	71	4136	0.002996898	0.069063578	299
VPS13B	69	4076	0.002997415	0.069063578	300
ALDH1B1	83	4923	0.003001427	0.069063578	301
TBX22	68	4207	0.003003014	0.069063578	302
COL6A3	82	3748	0.003003365	0.069063578	303
MMRN1	71	4104	0.003004540	0.069063578	304
COL22A1	70	4759	0.003010560	0.069063578	305
DIO2	65	3186	0.003020111	0.069063578	306
PTPRT	62	3896	0.003026777	0.069063578	307
ZNF208	65	4369	0.003030635	0.069063578	308
RAG1	65	3659	0.003036011	0.069063578	309
VCAM1	63	4976	0.003038835	0.069063578	310
RAPGEF2	62	3880	0.003042445	0.069063578	311
TENM4	76	4382	0.003050995	0.069063578	312
PCDHGA2	64	4959	0.003054630	0.069063578	313
MNDA	60	3207	0.003054869	0.069063578	314
OR4C46	72	4410	0.003055727	0.069063578	315
SCN1A	74	4136	0.003074917	0.069063578	316
RBM10	69	4707	0.003079259	0.069063578	317
PTCHD4	68	3246	0.003082449	0.069063578	318
DOP1B	59	3627	0.003089360	0.069063578	319
ERBB4	63	4802	0.003098105	0.069063578	320
CHRM3	76	4981	0.003102608	0.069063578	321
ARMC5	65	3954	0.003104850	0.069063578	322
DNAH8	65	4986	0.003108804	0.069063578	323
CPS1	64	3928	0.003114514	0.069063578	324
SPATA31D1	59	4443	0.003117876	0.069063578	325
HERC2	73	4533	0.003127688	0.069063578	326
CDH8	57	3459	0.003139151	0.069063578	327
CAPN11	54	3992	0.003140738	0.069063578	328
CNTN4	54	3127	0.003147507	0.069063578	329
SAMD9L	74	4256	0.003149496	0.069063578	330
INSRR	50	3876	0.003157115	0.069063578	331
CMTR2	69	4733	0.003159208	0.069063578	332
ADGRB3	83	4264	0.003169589	0.069063578	333
NLRP2	66	4930	0.003174344	0.069063578	334
SLIT3	63	4634	0.003174394	0.069063578	335
AGBL1	57	4906	0.003179341	0.069063578	336
PRDM9	71	3951	0.003186612	0.069063578	337
TRPM1	70	3384	0.003195776	0.069063578	338
PRSS1	63	4969	0.003196050	0.069063578	339
OR52K1	53	3784	0.003198425	0.069063578	340
F8	64	4843	0.003200533	0.069063578	341
CASR	59	3586	0.003200798	0.069063578	342
SMARCA4	63	3472	0.003204060	0.069063578	343
WDFY3	53	3524	0.003219805	0.069063578	344
FAM171B	62	4016	0.003224816	0.069063578	345
RTL4	52	3853	0.003225154	0.069063578	346
IL1RAPL1	50	3935	0.003234642	0.069063578	347
ZEB2	76	3632	0.003242571	0.069063578	348
BCHE	65	3463	0.003243315	0.069063578	349
KIF2B	65	4147	0.003246181	0.069063578	350
ABCC9	71	3112	0.003249510	0.069063578	351
COL12A1	62	4787	0.003254288	0.069063578	352
CTTNBP2	54	4279	0.003256168	0.069063578	353
ABCA9	66	4534	0.003256551	0.069063578	354
GPR141	52	3726	0.003258014	0.069063578	355
ADGRL3	70	4248	0.003264658	0.069063578	356
NUGGC	69	4695	0.003266541	0.069063578	357
CD244	79	4051	0.003269081	0.069063578	358
GPATCH1	59	4991	0.003269631	0.069063578	359
RBP3	57	3687	0.003272366	0.069063578	360
VWF	60	4143	0.003281419	0.069063578	361
PRAMEF19	52	3050	0.003282937	0.069063578	362
OR2L8	64	4534	0.003285981	0.069063578	363
PTPRN2	57	3229	0.003292576	0.069063578	364
ATRX	62	3001	0.003300021	0.069063578	365
EDIL3	63	3871	0.003300725	0.069063578	366
ALMS1	75	3317	0.003306216	0.069063578	367
USF3	65	4372	0.003312797	0.069063578	368
TRIML1	68	4462	0.003316717	0.069063578	369
PCDHA3	75	4397	0.003323007	0.069063578	370
FAM83B	59	3103	0.003333220	0.069063578	371
SLITRK1	61	4256	0.003338693	0.069063578	372
NPFFR2	61	4682	0.003340150	0.069063578	373
SNTG1	69	4153	0.003341751	0.069063578	374
OR5T2	50	4682	0.003343467	0.069063578	375
VWA3B	62	4675	0.003345394	0.069063578	376
CHD6	53	4662	0.003347184	0.069063578	377
DCAF8L1	62	3452	0.003347473	0.069063578	378
NPY2R	61	4183	0.003349313	0.069063578	379
PDILT	69	4426	0.003349416	0.069063578	380
KMT2C	58	3337	0.003351413	0.069063578	381
ADGRV1	59	3152	0.003352450	0.069063578	382
UGT3A1	59	4135	0.003353154	0.069063578	383
KMT2D	54	4758	0.003357784	0.069063578	384
ASTN2	61	3008	0.003361988	0.069063578	385
KIF4B	53	4890	0.003363627	0.069063578	386
FRG2C	58	4527	0.003364512	0.069063578	387
KRT3	52	3653	0.003366842	0.069063578	388
CPXCR1	58	3800	0.003373343	0.069063578	389
DISP3	57	3225	0.003377988	0.069063578	390
IGSF1	64	3146	0.003378950	0.069063578	391
ABCA10	57	4056	0.003379660	0.069063578	392
NLRP8	51	4003	0.003386331	0.069063578	393
TRPS1	62	4327	0.003399856	0.069063578	394
FAM47B	68	3202	0.003403393	0.069063578	395
OR2M4	67	4633	0.003407979	0.069063578	396
LAMC1	57	4300	0.003410600	0.069063578	397
CYP4F3	59	4884	0.003410772	0.069063578	398
ADGRL4	65	4955	0.003413420	0.069063578	399
RAB3C	64	4663	0.003417174	0.069063578	400
NLGN4X	60	4696	0.003420347	0.069063578	401
C2orf78	69	3729	0.003421210	0.069063578	402
DNAH10	49	4624	0.003433724	0.069063578	403
OR2T10	51	3837	0.003436053	0.069063578	404
BDP1	58	3821	0.003450853	0.069063578	405
POM121L12	53	4529	0.003461586	0.069063578	406
CLDN14	41	3763	0.003463274	0.069063578	407
LYST	71	3219	0.003469224	0.069063578	408
CDHR2	62	3143	0.003471481	0.069063578	409
UMODL1	49	4416	0.003472186	0.069063578	410
AKAP6	42	3794	0.003474185	0.069063578	411
NBEA	57	3749	0.003474409	0.069063578	412
OR2L3	64	3863	0.003476328	0.069063578	413
ADAMTS2	64	4734	0.003484155	0.069063578	414
PLXNA4	58	3160	0.003486145	0.069063578	415
GPM6A	48	4109	0.003487046	0.069063578	416
MAP2	62	3623	0.003496233	0.069063578	417
LRRIQ1	57	3469	0.003503388	0.069063578	418
OR4D6	57	3437	0.003503641	0.069063578	419
ETNPPL	50	3991	0.003504133	0.069063578	420
SLC4A3	58	4704	0.003519321	0.069063578	421
MAT1A	52	3320	0.003520760	0.069063578	422
PRLR	53	3407	0.003523695	0.069063578	423
ABCB5	52	4166	0.003530016	0.069063578	424
PKD1L1	57	3026	0.003534582	0.069063578	425
SLIT1	63	3337	0.003537781	0.069063578	426
DCAF12L2	55	3301	0.003553847	0.069063578	427
SLC8A1	58	4743	0.003556939	0.069063578	428
ITGAX	59	4250	0.003565353	0.069063578	429
MYH13	59	3253	0.003570346	0.069063578	430
CCDC171	53	3019	0.003573458	0.069063578	431
OR52B4	57	3562	0.003583061	0.069063578	432
ITIH6	57	4799	0.003584620	0.069063578	433
RBBP6	63	3640	0.003584812	0.069063578	434
RIMS1	55	4060	0.003586579	0.069063578	435
OR5R1	56	3476	0.003591084	0.069063578	436
MYCBP2	53	3758	0.003592526	0.069063578	437
PCDHA6	48	4092	0.003596551	0.069063578	438
DCAF4L2	59	3098	0.003598420	0.069063578	439
TRANK1	57	3400	0.003601063	0.069063578	440
IQGAP2	63	4438	0.003606006	0.069063578	441
SLC5A7	63	3150	0.003609193	0.069063578	442
HP1BP3	58	4186	0.003613768	0.069063578	443
TEX15	59	4496	0.003618949	0.069063578	444
ELSPBP1	52	4799	0.003623295	0.069063578	445
CARD11	55	3279	0.003626457	0.069063578	446
KIAA1109	56	4069	0.003628136	0.069063578	447
DNAH11	57	4632	0.003628462	0.069063578	448
GRIN2B	67	3400	0.003631370	0.069063578	449
ZC3HAV1	62	3345	0.003635669	0.069063578	450
PCDHA5	46	4291	0.003643571	0.069063578	451
SKAP1	48	3093	0.003644681	0.069063578	452
DPP6	75	4434	0.003647007	0.069063578	453
NUTM1	53	4409	0.003650356	0.069063578	454
EPHB6	53	3245	0.003656898	0.069063578	455
FHL5	48	4008	0.003660564	0.069063578	456
CCT6B	57	4398	0.003665056	0.069063578	457
SPTBN1	58	3397	0.003665185	0.069063578	458
TRPM3	58	4603	0.003667618	0.069063578	459
FAM83C	52	4688	0.003667638	0.069063578	460
PCDHGA9	58	3877	0.003669489	0.069063578	461
BOD1L1	55	3699	0.003671803	0.069063578	462
TIAM1	56	4535	0.003672489	0.069063578	463
UBE2O	52	4721	0.003673027	0.069063578	464
GRK5	66	3143	0.003682346	0.069063578	465
VGLL3	57	4306	0.003686343	0.069063578	466
FAM47A	71	4648	0.003696980	0.069063578	467
BRIP1	50	4081	0.003698639	0.069063578	468
COL6A6	58	4919	0.003708123	0.069063578	469
AGL	54	4346	0.003715491	0.069063578	470
ATP2B3	58	4939	0.003720153	0.069063578	471
PCDHB3	53	3920	0.003726198	0.069063578	472
HTR5A	55	3606	0.003727363	0.069063578	473
OR6F1	66	3751	0.003729103	0.069063578	474
FLNC	58	3815	0.003733365	0.069063578	475
SLITRK4	50	4693	0.003735180	0.069063578	476
FAT2	57	3797	0.003738873	0.069063578	477
LRRC32	60	4154	0.003742753	0.069063578	478
COL24A1	52	4906	0.003755358	0.069063578	479
KLHL6	50	4627	0.003765015	0.069063578	480
ITGBL1	48	3696	0.003768154	0.069063578	481
THEMIS	54	3190	0.003772100	0.069063578	482
STYXL2	56	3878	0.003772410	0.069063578	483
